listing_id,farmer_id,crop,variety,quantity_tonnes,price_per_quintal,description,harvest_date,listed_at,cluster,district,taluka,village
L0013,F0009,Tur,Phule Rajeshwari,8.01,6154.86,"Tur harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-11-22,2026-05-14,Vidarbha,Buldhana,Sindkhed Raja,Deulgaon Kol
L0014,F0010,Jowar,Phule Yashoda,10.49,6165.71,"Freshly harvested Jowar, good grade, cleaned and ready for pickup.",2024-11-02,2026-07-08,Vidarbha,Yavatmal,Arni,Jawala
L0015,F0011,Soybean,JS 20-29,7.16,6251.01,"Quality Soybean lot from this season, well-dried and properly sorted.",2025-12-26,2026-06-29,Vidarbha,Akola,Patur,Sasti
L0016,F0012,Sugarcane,Co 740,38.67,528.51,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2026-03-20,2026-04-20,Western Maharashtra (Desh),Kolhapur,Shirol,Lat
L0017,F0013,Wheat,Lokwan,7.37,2808.53,"Healthy Wheat yield this season, sorted and free of visible damage.",2026-03-21,2026-06-17,Western Maharashtra (Desh),Pune,Mulshi,Admal
L0018,F0014,Sugarcane,CoVSI 09292,115.14,451.03,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2024-11-29,2026-05-22,Western Maharashtra (Desh),Solapur,Mohol,Angar
L0019,F0015,Rice,Karjat-3,19.21,3710.9,"Quality Rice lot from this season, well-dried and properly sorted.",2024-11-24,2026-07-04,Vidarbha,Nagpur,Hingna,Adegaon
L0020,F0016,Tur,Phule Rajeshwari,2.51,6316.38,"Quality Tur lot from this season, well-dried and properly sorted.",2025-11-07,2026-05-23,Vidarbha,Yavatmal,Umarkhed,Vidul
L0021,F0017,Tur,Vipula,8.14,7476.69,"Well-graded Tur, stored in dry conditions, ready for immediate sale.",2024-12-16,2026-03-16,Vidarbha,Chandrapur,Warora,Abamakta
L0022,F0018,Cotton,DCH-32,3.55,8681.05,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-12-06,2026-07-14,Vidarbha,Chandrapur,Bramhapuri,Adyal Gaonganna
L0023,F0019,Jowar,CSH-16,17.09,3792.57,"Healthy Jowar yield this season, sorted and free of visible damage.",2024-10-27,2026-03-07,Vidarbha,Gadchiroli,Etapalli,Bhapda
L0024,F0019,Rice,Indrayani,22.76,4630.51,"Quality Rice lot from this season, well-dried and properly sorted.",2024-12-27,2026-05-27,Vidarbha,Gadchiroli,Etapalli,Bhapda
L0025,F0020,Jowar,Phule Yashoda,17.58,4477.3,"Freshly harvested Jowar, good grade, cleaned and ready for pickup.",2024-11-26,2026-04-13,Western Maharashtra (Desh),Sangli,Kavathemahankal,Agalgaon
L0026,F0021,Cotton,Bt Cotton (Bollgard II hybrid),19.12,8362.53,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-10-27,2026-07-10,Khandesh,Jalgaon,Jamner,Ambilhol
L0027,F0021,Cotton,Bt Cotton (Bollgard II hybrid),4.3,8958.62,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-10-31,2026-04-14,Khandesh,Jalgaon,Jamner,Ambilhol
L0028,F0022,Jowar,Phule Vasudha,4.12,3311.13,"Healthy Jowar yield this season, sorted and free of visible damage.",2025-10-23,2026-06-20,Western Maharashtra (Desh),Sangli,Tasgaon,Anjani
L0029,F0022,Jowar,CSH-16,6.76,4675.12,"Well-graded Jowar, stored in dry conditions, ready for immediate sale.",2024-11-04,2026-04-10,Western Maharashtra (Desh),Sangli,Tasgaon,Anjani
L0030,F0023,Groundnut,TAG-24,19.07,6898.95,"Well-graded Groundnut, stored in dry conditions, ready for immediate sale.",2025-10-22,2026-06-12,Khandesh,Nashik,Chandwad,Pattharsenbe
L0031,F0024,Tur,BSMR-736,9.03,7401.61,"Well-graded Tur, stored in dry conditions, ready for immediate sale.",2025-10-20,2026-06-28,Vidarbha,Amravati,Amravati,Anjangaon Bari
L0032,F0025,Tur,ICPL-87,12.31,6351.44,"Well-graded Tur, stored in dry conditions, ready for immediate sale.",2024-11-02,2026-05-09,Khandesh,Jalgaon,Muktainagar,Anjangaon
L0033,F0025,Maize,Pratap Hybrid-1,6.81,2098.26,"Maize harvest, medium-to-large grade, minimal moisture, farm-fresh.",2025-10-10,2026-08-07,Khandesh,Jalgaon,Muktainagar,Anjangaon
L0034,F0025,Maize,DHM-117,14.58,2037.0,"Freshly harvested Maize, good grade, cleaned and ready for pickup.",2024-10-01,2026-07-14,Khandesh,Jalgaon,Muktainagar,Anjangaon
L0035,F0026,Bajra,Saburi,10.34,4143.95,"Well-graded Bajra, stored in dry conditions, ready for immediate sale.",2025-11-17,2026-06-25,Khandesh,Nashik,Nashik,Agartakali
L0036,F0027,Wheat,Tapovan (NIAW-917),6.85,3187.52,"Freshly harvested Wheat, good grade, cleaned and ready for pickup.",2025-03-25,2026-07-20,Vidarbha,Yavatmal,Babhulgaon,Asegaondevi
L0037,F0028,Cotton,Bt Cotton (Bollgard II hybrid),8.31,8978.73,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-11-25,2026-03-11,Vidarbha,Amravati,Nandgaon Khandeshwar,Dhamak
L0038,F0029,Cotton,DCH-32,14.23,9081.09,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-11-01,2026-07-14,Vidarbha,Amravati,Warud,Jarud
L0039,F0029,Wheat,Tapovan (NIAW-917),1.66,3013.13,"Quality Wheat lot from this season, well-dried and properly sorted.",2025-04-27,2026-06-28,Vidarbha,Amravati,Warud,Jarud
L0040,F0030,Jowar,Phule Vasudha,12.5,5999.35,"Quality Jowar lot from this season, well-dried and properly sorted.",2024-11-02,2026-06-01,Western Maharashtra (Desh),Solapur,Akkalkot,Chapalgaon
L0041,F0031,Banana,Grand Naine,7.78,3755.39,"Healthy Banana yield this season, sorted and free of visible damage.",2026-04-12,2026-07-26,Khandesh,Jalgaon,Bhusawal,Achegaon
L0042,F0031,Tur,BDN-711,10.85,6434.29,"Well-graded Tur, stored in dry conditions, ready for immediate sale.",2025-10-22,2026-07-25,Khandesh,Jalgaon,Bhusawal,Achegaon
L0043,F0032,Soybean,JS 20-29,19.39,6314.52,"Soybean harvest, medium-to-large grade, minimal moisture, farm-fresh.",2025-12-15,2026-05-13,Vidarbha,Amravati,Chikhaldara,Churni
L0044,F0032,Soybean,MACS 1281,15.3,6925.94,"Healthy Soybean yield this season, sorted and free of visible damage.",2024-10-14,2026-08-22,Vidarbha,Amravati,Chikhaldara,Churni
L0045,F0033,Cotton,DCH-32,16.47,8622.83,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-11-20,2026-07-16,Khandesh,Jalgaon,Yawal,Adgaon
L0046,F0034,Jowar,Maldandi,15.7,4104.22,"Jowar harvest, medium-to-large grade, minimal moisture, farm-fresh.",2025-12-23,2026-05-31,Western Maharashtra (Desh),Solapur,Mohol,Angar
L0047,F0034,Jowar,CSH-25,4.24,3948.74,"Well-graded Jowar, stored in dry conditions, ready for immediate sale.",2024-10-26,2026-05-07,Western Maharashtra (Desh),Solapur,Mohol,Angar
L0048,F0034,Jowar,CSH-16,10.55,2996.86,"Quality Jowar lot from this season, well-dried and properly sorted.",2024-10-24,2026-08-02,Western Maharashtra (Desh),Solapur,Mohol,Angar
L0049,F0034,Cotton,Bt Cotton (Bollgard II hybrid),15.25,9271.01,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-11-03,2026-05-24,Western Maharashtra (Desh),Solapur,Mohol,Angar
L0050,F0035,Soybean,MACS 1281,12.91,6236.17,"Soybean harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-10-11,2026-07-11,Vidarbha,Buldhana,Motala,Dhamangaon Badhe
L0051,F0036,Groundnut,TAG-24,8.18,6691.91,"Healthy Groundnut yield this season, sorted and free of visible damage.",2025-10-04,2026-06-19,Vidarbha,Bhandara,Pauni,Adyal
L0052,F0037,Sugarcane,CoVSI 09292,117.67,302.85,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2025-10-02,2026-04-10,Western Maharashtra (Desh),Kolhapur,Hatkanangale,Rendal
L0053,F0037,Sugarcane,Co 86032,43.49,537.54,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2026-03-04,2026-05-21,Western Maharashtra (Desh),Kolhapur,Hatkanangale,Rendal
L0054,F0038,Soybean,MACS 1281,9.99,5575.17,"Soybean harvest, medium-to-large grade, minimal moisture, farm-fresh.",2025-11-13,2026-05-15,Vidarbha,Nagpur,Umred,Bela
L0055,F0039,Cotton,RCH-2 Bt,18.88,9098.09,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-12-18,2026-06-18,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Nagar,Akolner
L0056,F0039,Bajra,Saburi,17.59,3893.17,"Well-graded Bajra, stored in dry conditions, ready for immediate sale.",2024-11-28,2026-07-09,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Nagar,Akolner
L0057,F0040,Jowar,CSH-16,1.49,3042.42,"Quality Jowar lot from this season, well-dried and properly sorted.",2025-12-29,2026-05-11,Western Maharashtra (Desh),Pune,Pune City,Keshavnagar-Mundwa
L0058,F0041,Maize,Karveer,8.85,2031.55,"Maize harvest, medium-to-large grade, minimal moisture, farm-fresh.",2025-10-03,2026-07-15,Khandesh,Dhule,Dhule,Kusumbe
L0059,F0041,Maize,African Tall,19.42,2415.07,"Healthy Maize yield this season, sorted and free of visible damage.",2025-10-30,2026-07-03,Khandesh,Dhule,Dhule,Kusumbe
L0060,F0042,Cotton,Suraj Bt,8.6,9035.11,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-11-14,2025-09-25,Khandesh,Nandurbar,Akkalkuwa,Dab
L0061,F0043,Tur,BSMR-736,19.75,7971.33,"Tur harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-11-19,2026-05-26,Vidarbha,Amravati,Daryapur,Darapur
L0062,F0044,Cotton,Ajeet-155 Bt,4.71,8471.79,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-10-17,2026-06-18,Khandesh,Nandurbar,Akkalkuwa,Dab
L0063,F0045,Rice,Indrayani,8.23,4644.21,"Well-graded Rice, stored in dry conditions, ready for immediate sale.",2025-10-22,2026-07-04,Khandesh,Nashik,Kalwan,Kalwan Khu
L0064,F0046,Jowar,Maldandi,10.16,4546.4,"Quality Jowar lot from this season, well-dried and properly sorted.",2024-10-28,2026-05-18,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Nevasa,Chanda
L0065,F0047,Jowar,Maldandi,3.0,6176.1,"Jowar harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-10-21,2026-07-09,Western Maharashtra (Desh),Pune,Baramati,Ambi Bk.
L0066,F0048,Soybean,MACS 1281,15.56,5306.86,"Well-graded Soybean, stored in dry conditions, ready for immediate sale.",2025-12-25,2026-08-20,Vidarbha,Amravati,Chikhaldara,Katkumbh
L0067,F0049,Soybean,JS 335,13.64,6922.29,"Soybean harvest, medium-to-large grade, minimal moisture, farm-fresh.",2025-10-12,2026-06-29,Vidarbha,Yavatmal,Zari Jamani,Dhanora
L0068,F0050,Rice,Ambemohar,23.36,4802.77,"Rice harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-12-22,2025-12-25,Vidarbha,Bhandara,Mohadi,Andhalgaon
L0069,F0051,Cotton,Suraj Bt,18.29,9191.56,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-12-23,2026-06-07,Vidarbha,Nagpur,Nagpur Rural,Bahadura
L0070,F0052,Soybean,JS 9560,5.25,5066.09,"Freshly harvested Soybean, good grade, cleaned and ready for pickup.",2024-10-15,2026-08-03,Vidarbha,Buldhana,Deulgaon Raja,Deulgaon Mahi
L0071,F0053,Bajra,Saburi,15.07,4168.14,"Bajra harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-12-13,2026-06-23,Khandesh,Nashik,Deola,Matane
L0072,F0054,Wheat,NIAW-34,2.18,2735.6,"Wheat harvest, medium-to-large grade, minimal moisture, farm-fresh.",2026-03-27,2026-05-17,Western Maharashtra (Desh),Solapur,Karmala,Chikhalthan
L0073,F0054,Sugarcane,Co 740,122.66,580.18,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2025-02-11,2026-07-06,Western Maharashtra (Desh),Solapur,Karmala,Chikhalthan
L0074,F0054,Sugarcane,Co 86032,68.37,461.49,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2025-12-20,2026-06-01,Western Maharashtra (Desh),Solapur,Karmala,Chikhalthan
L0075,F0055,Cotton,DCH-32,16.91,8899.8,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-10-19,2026-06-27,Khandesh,Jalgaon,Amalner,Ambare
L0076,F0056,Soybean,JS 9560,15.19,6752.99,"Soybean harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-12-16,2026-07-20,Vidarbha,Buldhana,Deulgaon Raja,Deulgaon Mahi
L0077,F0057,Rice,Kolam,13.06,4670.62,"Healthy Rice yield this season, sorted and free of visible damage.",2025-12-30,2026-08-12,Vidarbha,Bhandara,Lakhandur,Lakhandur
L0078,F0058,Jowar,CSH-25,6.54,6079.38,"Quality Jowar lot from this season, well-dried and properly sorted.",2024-11-12,2026-04-23,Vidarbha,Gadchiroli,Korchi,Maseli
L0079,F0058,Jowar,CSH-16,17.11,5963.96,"Freshly harvested Jowar, good grade, cleaned and ready for pickup.",2024-12-29,2026-06-27,Vidarbha,Gadchiroli,Korchi,Maseli
L0080,F0059,Jowar,CSH-16,17.28,5218.62,"Quality Jowar lot from this season, well-dried and properly sorted.",2025-12-24,2026-05-15,Vidarbha,Gadchiroli,Dhanora,Dhanora
L0081,F0060,Sugarcane,Co 86032,88.97,401.22,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2025-12-29,2026-05-26,Western Maharashtra (Desh),Solapur,Barshi,Bavi
L0082,F0061,Bajra,Phule Adishakti,2.85,2879.18,"Bajra harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-12-30,2026-06-15,Khandesh,Nashik,Baglan,Mulher
L0083,F0061,Bajra,Phule Adishakti,13.44,3412.03,"Well-graded Bajra, stored in dry conditions, ready for immediate sale.",2025-12-29,2026-05-21,Khandesh,Nashik,Baglan,Mulher
L0084,F0061,Rice,Kolam,22.53,3856.6,"Freshly harvested Rice, good grade, cleaned and ready for pickup.",2024-12-23,2026-03-26,Khandesh,Nashik,Baglan,Mulher
L0085,F0061,Bajra,Saburi,14.79,3408.93,"Well-graded Bajra, stored in dry conditions, ready for immediate sale.",2024-11-18,2026-08-06,Khandesh,Nashik,Baglan,Mulher
L0086,F0062,Soybean,JS 9560,18.59,5020.91,"Freshly harvested Soybean, good grade, cleaned and ready for pickup.",2025-10-23,2026-06-05,Vidarbha,Buldhana,Buldhana,Dhad
L0087,F0063,Maize,African Tall,19.63,2355.07,"Well-graded Maize, stored in dry conditions, ready for immediate sale.",2025-10-20,2026-07-03,Khandesh,Nashik,Nandgaon,Girananagar
L0088,F0064,Jowar,CSH-16,8.54,3689.68,"Well-graded Jowar, stored in dry conditions, ready for immediate sale.",2024-12-23,2026-01-02,Vidarbha,Gadchiroli,Korchi,Maseli
L0089,F0064,Jowar,Maldandi,15.78,5713.62,"Well-graded Jowar, stored in dry conditions, ready for immediate sale.",2025-11-05,2026-07-26,Vidarbha,Gadchiroli,Korchi,Maseli
L0090,F0065,Cotton,Bt Cotton (Bollgard II hybrid),2.57,8887.06,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-10-03,2026-05-17,Vidarbha,Yavatmal,Babhulgaon,Dabha
L0091,F0065,Cotton,DCH-32,14.18,8413.46,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-11-19,2026-05-09,Vidarbha,Yavatmal,Babhulgaon,Dabha
L0092,F0066,Jowar,Phule Yashoda,3.38,3770.82,"Freshly harvested Jowar, good grade, cleaned and ready for pickup.",2024-11-21,2026-07-02,Vidarbha,Gadchiroli,Aheri,Chhallewada
L0093,F0066,Linseed,Sharda,11.57,6804.63,"Healthy Linseed yield this season, sorted and free of visible damage.",2026-02-09,2026-05-20,Vidarbha,Gadchiroli,Aheri,Chhallewada
L0094,F0067,Tur,Phule Rajeshwari,11.24,7883.3,"Freshly harvested Tur, good grade, cleaned and ready for pickup.",2024-10-27,2026-05-27,Vidarbha,Yavatmal,Kalamb,Dongarkharda
L0095,F0068,Soybean,JS 9560,17.38,6399.0,"Well-graded Soybean, stored in dry conditions, ready for immediate sale.",2024-12-11,2026-06-27,Vidarbha,Wardha,Ashti,Sahur
L0096,F0069,Cotton,DCH-32,3.34,8454.58,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-12-23,2026-06-07,Vidarbha,Chandrapur,Chimur,Ajgaon
L0097,F0070,Soybean,JS 335,11.69,6758.34,"Freshly harvested Soybean, good grade, cleaned and ready for pickup.",2024-10-11,2026-07-09,Vidarbha,Nagpur,Kamptee,Asoli
L0098,F0071,Maize,Karveer,6.67,2576.39,"Freshly harvested Maize, good grade, cleaned and ready for pickup.",2024-11-24,2026-07-10,Khandesh,Jalgaon,Jalgaon,Amode Bk.
L0099,F0072,Soybean,JS 20-29,9.45,6127.26,"Soybean harvest, medium-to-large grade, minimal moisture, farm-fresh.",2025-12-06,2026-07-10,Vidarbha,Washim,Washim,Adoli
L0100,F0072,Soybean,JS 20-29,11.23,5282.63,"Freshly harvested Soybean, good grade, cleaned and ready for pickup.",2024-12-24,2026-05-26,Vidarbha,Washim,Washim,Adoli
L0101,F0072,Cotton,RCH-2 Bt,1.7,8470.0,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-10-18,2026-05-09,Vidarbha,Washim,Washim,Adoli
L0102,F0073,Jowar,Maldandi,11.45,3538.43,"Well-graded Jowar, stored in dry conditions, ready for immediate sale.",2024-11-21,2026-07-19,Vidarbha,Yavatmal,Arni,Anjargaon
L0103,F0073,Cotton,Bt Cotton (Bollgard II hybrid),18.95,9111.83,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-12-08,2026-07-10,Vidarbha,Yavatmal,Arni,Anjargaon
L0104,F0073,Cotton,Bt Cotton (Bollgard II hybrid),12.96,8623.28,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-12-31,2026-07-05,Vidarbha,Yavatmal,Arni,Anjargaon
L0105,F0074,Sugarcane,Co 94012,103.74,546.15,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2025-01-16,2026-07-07,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Shevgaon,Adhodi
L0106,F0075,Tur,BSMR-736,1.49,7388.3,"Freshly harvested Tur, good grade, cleaned and ready for pickup.",2024-11-04,2026-07-25,Vidarbha,Gadchiroli,Dhanora,Rangi
L0107,F0075,Tur,Phule Rajeshwari,3.09,7261.25,"Freshly harvested Tur, good grade, cleaned and ready for pickup.",2024-11-12,2026-08-08,Vidarbha,Gadchiroli,Dhanora,Rangi
L0108,F0076,Sugarcane,Co 740,137.75,533.42,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2024-11-27,2026-06-16,Western Maharashtra (Desh),Solapur,Sangole,Mahud Bk.
L0109,F0077,Jowar,Maldandi,15.87,3044.61,"Well-graded Jowar, stored in dry conditions, ready for immediate sale.",2025-12-15,2026-06-16,Vidarbha,Chandrapur,Nagbhid,Akapur
L0110,F0077,Cotton,Bt Cotton (Bollgard II hybrid),11.05,9140.55,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-12-10,2026-05-18,Vidarbha,Chandrapur,Nagbhid,Akapur
L0111,F0077,Cotton,Ajeet-155 Bt,2.88,8357.56,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-11-19,2026-06-15,Vidarbha,Chandrapur,Nagbhid,Akapur
L0112,F0078,Tur,ICPL-87,16.32,7558.97,"Healthy Tur yield this season, sorted and free of visible damage.",2025-12-01,2026-06-10,Vidarbha,Gondia,Deori,Chichgad
L0113,F0079,Groundnut,SB-11,5.92,7716.65,"Quality Groundnut lot from this season, well-dried and properly sorted.",2024-12-24,2026-06-18,Western Maharashtra (Desh),Pune,Velhe,Ambavane
L0114,F0080,Cotton,RCH-2 Bt,8.2,9182.51,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-12-21,2026-06-20,Western Maharashtra (Desh),Solapur,Karmala,Chikhalthan
L0115,F0081,Tur,Vipula,13.89,6961.96,"Well-graded Tur, stored in dry conditions, ready for immediate sale.",2025-10-24,2026-05-20,Vidarbha,Amravati,Achalpur,Pathrot
L0116,F0082,Maize,Ganga Safed-2,19.1,2264.42,"Freshly harvested Maize, good grade, cleaned and ready for pickup.",2024-11-09,2026-06-16,Khandesh,Nashik,Surgana,Umbarthan
L0117,F0082,Groundnut,JL-24,8.72,6781.84,"Freshly harvested Groundnut, good grade, cleaned and ready for pickup.",2024-12-21,2026-06-03,Khandesh,Nashik,Surgana,Umbarthan
L0118,F0083,Wheat,Lokwan,14.87,3144.87,"Freshly harvested Wheat, good grade, cleaned and ready for pickup.",2025-04-15,2026-07-05,Vidarbha,Amravati,Dhamangaon,Mund Nilkanth Sakharam
L0119,F0084,Cotton,Bt Cotton (Bollgard II hybrid),19.28,8808.78,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-12-01,2026-07-05,Vidarbha,Amravati,Chandurbazar,Bramhanwada Thadi
L0120,F0084,Cotton,Ajeet-155 Bt,14.02,9112.13,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-11-21,2026-07-20,Vidarbha,Amravati,Chandurbazar,Bramhanwada Thadi
L0121,F0084,Wheat,Sharbati,18.31,2945.92,"Wheat harvest, medium-to-large grade, minimal moisture, farm-fresh.",2026-04-10,2026-06-21,Vidarbha,Amravati,Chandurbazar,Bramhanwada Thadi
L0122,F0085,Sugarcane,CoM 0265,149.22,498.35,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2025-03-05,2026-06-26,Western Maharashtra (Desh),Satara,Satara,Angapur Vandan
L0123,F0086,Sunflower,LSF-8,13.82,7440.25,"Freshly harvested Sunflower, good grade, cleaned and ready for pickup.",2025-02-23,2026-06-25,Vidarbha,Buldhana,Buldhana,Dhad
L0124,F0087,Soybean,MACS 1281,8.2,5658.55,"Quality Soybean lot from this season, well-dried and properly sorted.",2024-11-13,2026-07-23,Vidarbha,Buldhana,Sindkhed Raja,Adgaon Raja
L0125,F0087,Soybean,JS 20-29,17.16,6772.95,"Well-graded Soybean, stored in dry conditions, ready for immediate sale.",2025-11-08,2026-06-23,Vidarbha,Buldhana,Sindkhed Raja,Adgaon Raja
L0126,F0087,Soybean,MAUS 71,6.03,4805.14,"Soybean harvest, medium-to-large grade, minimal moisture, farm-fresh.",2025-10-28,2026-07-16,Vidarbha,Buldhana,Sindkhed Raja,Adgaon Raja
L0127,F0087,Soybean,JS 20-29,16.69,4881.49,"Well-graded Soybean, stored in dry conditions, ready for immediate sale.",2025-12-19,2026-06-10,Vidarbha,Buldhana,Sindkhed Raja,Adgaon Raja
L0128,F0087,Sunflower,Morden,7.76,6854.17,"Sunflower harvest, medium-to-large grade, minimal moisture, farm-fresh.",2026-03-11,2026-07-20,Vidarbha,Buldhana,Sindkhed Raja,Adgaon Raja
L0129,F0088,Cotton,Bt Cotton (Bollgard II hybrid),1.1,9368.24,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-11-21,2026-07-22,Vidarbha,Chandrapur,Saoli,Antargaon
L0130,F0089,Cotton,Bt Cotton (Bollgard II hybrid),2.93,8890.46,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-12-07,2026-07-22,Vidarbha,Akola,Telhara,Hiwarkhed
L0131,F0090,Linseed,Sharda,3.35,6731.12,"Linseed harvest, medium-to-large grade, minimal moisture, farm-fresh.",2025-04-26,2026-05-27,Vidarbha,Gadchiroli,Chamorshi,Talodhi Mokasa
L0132,F0091,Cotton,RCH-2 Bt,9.94,8749.17,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-11-24,2026-07-18,Vidarbha,Yavatmal,Digras,Dehani
L0133,F0092,Cotton,Ajeet-155 Bt,16.42,8430.43,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-12-24,2026-05-24,Khandesh,Jalgaon,Raver,Ajanad
L0134,F0093,Tur,BSMR-736,1.11,8032.23,"Quality Tur lot from this season, well-dried and properly sorted.",2024-10-15,2026-05-05,Vidarbha,Gadchiroli,Dhanora,Dhanora
L0135,F0093,Tur,ICPL-87,1.76,6907.46,"Quality Tur lot from this season, well-dried and properly sorted.",2025-10-05,2026-04-11,Vidarbha,Gadchiroli,Dhanora,Dhanora
L0136,F0094,Sunflower,LSF-8,19.02,7611.34,"Well-graded Sunflower, stored in dry conditions, ready for immediate sale.",2026-02-16,2026-07-16,Vidarbha,Buldhana,Buldhana,Dhad
L0137,F0095,Maize,Pratap Hybrid-1,11.45,2459.87,"Well-graded Maize, stored in dry conditions, ready for immediate sale.",2024-11-11,2026-06-08,Khandesh,Nashik,Kalwan,Kalwan Baw
L0138,F0096,Cotton,Ajeet-155 Bt,14.79,9190.27,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-10-17,2026-07-17,Khandesh,Jalgaon,Yawal,Adgaon
